ServerID,Longitude,Latitude,ServerPerformance
1,144.97476,-37.81517,2
2,144.95256,-37.81524,2
3,144.9712,-37.81239,2
4,144.96918,-37.81679,1.684116017
5,144.95692,-37.81808,1.684116017
6,144.957909,-37.811269,1.684116017
7,144.96893,-37.809081,1.473747902
8,144.962656,-37.815461,1.473747902
9,144.955026,-37.81285,1.473747902
10,144.962313,-37.816356,1.282702893
11,144.957211,-37.818071,1.282702893
12,144.954367,-37.818202,1.282702893
13,144.971971,-37.814225,1.111527501
14,144.955905,-37.815975,1.111527501
15,144.96521,-37.81132,1
16,144.95123,-37.81761,1
